ÜRÜN NO;DIÞ ÇAP;YÜKSEKLÝK
401;71,4680;5,9310
402;71,4760;5,8100
403;71,5260;5,8510
404;71,4640;5,8730
405;71,4490;5,8600
406;71,4720;5,8100
407;71,4380;5,8410
408;71,4970;5,8280
409;71,4500;5,8820
410;71,4640;5,8750
411;71,4810;5,8360
412;71,4980;5,8170
413;71,4990;5,8240
414;71,5310;5,8260
415;71,4550;5,8110
416;71,4660;5,8250
417;71,3310;5,8040
418;71,5090;5,8290
419;71,4730;5,8310
420;71,4360;5,8260
421;71,4400;5,8260
422;71,4830;5,8370
423;71,4970;5,8200
424;71,5760;5,8410
425;71,4830;5,8550
426;71,4810;5,8950
427;71,5140;5,7330
428;71,3860;5,8340
429;71,5060;5,8350
430;71,5760;5,8750
431;71,5210;5,8250
432;71,5220;5,8250
433;71,5190;5,8680
434;71,4670;5,8280
435;71,4230;5,8310
436;71,4970;5,8850
437;71,4810;5,8230
438;71,4710;5,8670
439;71,4230;5,8670
440;71,5520;5,8170
441;71,5080;5,8540
442;71,4750;5,8330
443;71,6030;5,8480
444;71,5200;5,8580
445;71,4730;5,8470
446;71,4880;5,8540
447;71,4200;5,8380
448;71,3800;5,8340
449;71,4570;5,8770
450;71,3710;5,8240
451;71,4110;5,8230
452;71,4720;5,8200
453;71,3430;5,8420
454;71,4590;5,8310
455;71,5420;5,8700
456;71,4470;5,8280
457;71,4730;5,8620
458;71,4820;5,8790
459;71,4330;5,8400
460;71,4710;5,8330
461;71,4590;5,8400
462;71,4970;5,8820
463;71,4860;5,8260
464;71,4470;5,8420
465;71,5700;5,8560
466;71,4490;5,8660
467;71,4660;5,7900
468;71,4990;5,8370
469;71,4660;5,8180
470;71,4800;5,8550
471;71,4850;5,8520
472;71,3830;5,8220
473;71,5610;5,8000
474;71,4630;5,8420
475;71,5550;5,8250
476;71,4960;5,8090
477;71,5210;5,8160
478;71,5190;5,8400
479;71,4660;5,8360
480;71,4270;5,8450
481;71,5210;5,8350
482;71,3680;5,8350
483;71,5580;5,8510
484;71,4890;5,8210
485;71,4050;5,8050
486;71,4260;5,8520
487;71,5710;5,8610
488;71,4620;5,8930
489;71,4910;5,8510
490;71,4670;5,8270
491;71,3710;5,8300
492;71,4030;5,7970
493;71,3850;5,8550
494;71,4020;5,8180
495;71,5650;5,8470
496;71,5240;5,8170
497;71,4720;5,8460
498;71,3710;5,8670
499;71,4690;5,8610
500;71,4590;5,8420
501;71,8400;5,8240
502;71,4580;5,8530
503;71,3500;5,8860
504;71,5150;5,8520
505;71,4770;5,7960
506;71,3820;5,8400
507;71,5090;5,8650
508;71,4680;5,8360
509;71,4440;5,8360
510;71,4460;5,8160
511;71,3800;5,8510
512;71,4440;5,8250
513;71,4260;5,8300
514;71,4410;5,8370
515;71,4610;5,8340
516;71,5330;5,8450
517;71,4710;5,8960
518;71,3890;5,7960
519;71,5090;5,8580
520;71,4350;5,8850
521;71,6590;5,8190
522;71,4790;5,8360
523;71,5380;5,8470
524;71,4670;5,8620
525;71,4410;5,8360
526;71,4140;5,8470
527;71,6110;5,8240
528;71,5620;5,8300
529;71,5690;5,8550
530;71,5140;5,9370
531;71,5080;5,9160
532;71,5070;5,8660
533;71,4480;5,8530
534;71,4130;5,8570
535;71,4390;5,8260
536;71,3860;5,8550
537;71,4270;5,8430
538;71,5080;5,8540
539;71,4680;5,8860
540;71,4780;5,8210
541;71,4550;5,8790
542;71,5070;5,8320
